Keyword,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity,Type
ah,Cross Me feat. Chance the Rapper & PnB Rock,Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,filler
Ah,Loco Contigo feat. J. Balvin & Tyga,DJ Snake,dance pop,96,71,82,-4,15,38,185,28,7,86,filler
Ah,Loco Contigo feat. J. Balvin & Tyga,DJ Snake,dance pop,96,71,82,-4,15,38,185,28,7,86,filler
Ah,Otro Trago - Remix,Sech,panamanian pop,176,79,73,-2,6,76,288,7,20,87,filler
Ah,Otro Trago,Sech,panamanian pop,176,70,75,-5,11,62,226,14,34,91,filler
ah,Beautiful People feat. Khalid,Ed Sheeran,pop,93,65,64,-8,8,55,198,12,19,86,filler
Ah,Dance Monkey,Tones and I,australian pop,98,59,82,-6,18,54,210,69,10,83,filler
ah,Dance Monkey,Tones and I,australian pop,98,59,82,-6,18,54,210,69,10,83,filler
ah,Dance Monkey,Tones and I,australian pop,98,59,82,-6,18,54,210,69,10,83,filler
Ah,Shallow,Lady Gaga,dance pop,96,39,57,-6,23,32,216,37,3,87,filler
ah,Shallow,Lady Gaga,dance pop,96,39,57,-6,23,32,216,37,3,87,filler
Ah,Te Robaré,Nicky Jam,latin,176,75,67,-4,8,80,202,24,6,88,filler
ah,Call You Mine,The Chainsmokers,edm,104,70,59,-6,41,50,218,23,3,88,filler
ah,Call You Mine,The Chainsmokers,edm,104,70,59,-6,41,50,218,23,3,88,filler
ah,Call You Mine,The Chainsmokers,edm,104,70,59,-6,41,50,218,23,3,88,filler
ah,Call You Mine,The Chainsmokers,edm,104,70,59,-6,41,50,218,23,3,88,filler
ah,Call You Mine,The Chainsmokers,edm,104,70,59,-6,41,50,218,23,3,88,filler
ah,Otro Trago - Remix,Sech,panamanian pop,176,79,73,-2,6,76,288,7,20,87,filler
ah,Otro Trago,Sech,panamanian pop,176,70,75,-5,11,62,226,14,34,91,filler
ah,Cross Me feat. Chance the Rapper & PnB Rock,Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,filler
ah,Cross Me feat. Chance the Rapper & PnB Rock,Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,filler
ah,Cross Me feat. Chance the Rapper & PnB Rock,Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,filler
ah-ah,Otro Trago - Remix,Sech,panamanian pop,176,79,73,-2,6,76,288,7,20,87,filler
ah-ah,Otro Trago,Sech,panamanian pop,176,70,75,-5,11,62,226,14,34,91,filler
ahead,Loco Contigo feat. J. Balvin & Tyga,DJ Snake,dance pop,96,71,82,-4,15,38,185,28,7,86,
ahead,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91,
ahead,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91,
ahead,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91,
ahead,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91,
ahead,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91,
ahead,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91,
ahead,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91,
Aight,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,slang
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
ain't,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
ain't,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
ain't,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
ain't,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
ain't,Old Town Road - Remix,Lil Nas X,country rap,136,62,88,-6,11,64,157,5,10,87,stop
Ain't,Money In The Grave Drake ft. Rick Ross,Drake,canadian hip hop,101,50,83,-4,12,10,205,10,5,92,stop
Ain't,Money In The Grave Drake ft. Rick Ross,Drake,canadian hip hop,101,50,83,-4,12,10,205,10,5,92,stop
ain't,Money In The Grave Drake ft. Rick Ross,Drake,canadian hip hop,101,50,83,-4,12,10,205,10,5,92,stop
Ain't,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,stop
ain't,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,stop
ain't,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,stop
ain't,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,stop
ain't,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,stop
ain't,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,stop
Ain't,Truth Hurts,Lizzo,escape room,158,62,72,-3,12,41,173,11,11,91,stop
ain't,Truth Hurts,Lizzo,escape room,158,62,72,-3,12,41,173,11,11,91,stop
ain't,Panini,Lil Nas X,country rap,154,59,70,-6,12,48,115,34,8,91,stop
Ain't,7 rings,Ariana Grande,dance pop,140,32,78,-11,9,33,179,59,33,89,stop
Ain't,7 rings,Ariana Grande,dance pop,140,32,78,-11,9,33,179,59,33,89,stop
ain't,7 rings,Ariana Grande,dance pop,140,32,78,-11,9,33,179,59,33,89,stop
ain't,7 rings,Ariana Grande,dance pop,140,32,78,-11,9,33,179,59,33,89,stop
ain't,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,stop
ain't,You Need To Calm Down,Taylor Swift,dance pop,85,68,77,-6,7,73,171,1,5,90,stop
Ain't,Shallow,Lady Gaga,dance pop,96,39,57,-6,23,32,216,37,3,87,stop
ain't,Talk,Khalid,pop,136,40,90,-9,6,35,198,5,13,84,stop
Ain't,One Thing Right,Marshmello,brostep,88,62,66,-2,58,44,182,7,5,88,stop
ain't,Cross Me feat. Chance the Rapper & PnB Rock,Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,stop
ain't,Cross Me feat. Chance the Rapper & PnB Rock,Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,stop
ain't,Cross Me feat. Chance the Rapper & PnB Rock,Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,stop
ain't,Cross Me feat. Chance the Rapper & PnB Rock,Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,stop
